name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
POM'POTES Compotes Gourdes Pomme Nature 4x90g - Classique - 360 g,drinks,0.5,15.0,13.0,0.1,1.1,0.01,"Allergens: Eggs, Gluten, Milk, Peanuts",1,1,0,1,1,3,Harmful
VICHY CELESTINS Eau Minérale Naturelle Gazeuse 0.50 L - 500 ml,drinks,0.0,0.0,0.0,0.0,12.751875527426158,2.62,"Allergens: Eggs, Gluten, Milk, Peanuts",1,1,0,1,1,2,Neutral
Lait d'amandes grillée - Bjorg - 1L,drinks,0.6,5.5,4.0,0.3,0.6,0.1,Allergens: Nuts,0,1,0,0,0,3,Harmful
Soy milk - Alnatura - 1 l,drinks,10.0,23.0,27.0,29.935,1.0,2.62,Allergens: Soybeans,0,0,1,0,0,3,Harmful
Instant hot chocolate - Bellarom - 400 g,drinks,7.3,75.0,60.0,4.6,4.9,2.62,Allergens: Milk,1,0,0,0,0,3,Harmful
Bluebery immune system - Actimel - 12 x 100 g,drinks,2.8,12.1,11.9,1.0,12.751875527426158,0.1,Allergens: Milk,1,0,0,0,0,2,Neutral
Actimel Multi-Fruit - Danone - 12 x 100 g,drinks,2.8,13.0,13.0,1.0,0.0,0.1,"Allergens: Milk, Orange, Peach",1,0,0,0,0,3,Harmful
Ginger Kombucha - No.1 Living - 250ml,drinks,0.0,0.2,13.901433217189314,11.578162962962963,12.751875527426158,2.62,"Allergens: Milk, Orange, Peach",1,0,0,0,0,3,Harmful
Hipro a boire uht vanille 345 g x 1 - Danone - 0.345 kg,drinks,7.6,4.9,4.9,0.03,12.751875527426158,0.2,Allergens: Milk,1,0,0,0,0,1,Beneficial
Barista Oat - Alpro - 1 L,drinks,0.8,6.7,0.0,0.0,1.0,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Lactose Free semi-skinned Milk Drink - Lidl - 1L,drinks,3.1,3.4,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
Thumbs Up 750ml - Coca Cola Company - 24,drinks,0.0,9.0,9.0,0.0,12.751875527426158,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Cappuccino - Starbucks - 220ml,drinks,2.8,8.8,8.5,1.6,0.0,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Starbucks caramel macchiato - 220 ml,drinks,11.0,20.0,2.0,29.935,20.232014218009482,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
Oatly! No sugars oat drink - 1L,drinks,14.0,17.0,13.901433217189314,12.0,2.0,2.62,Allergens: Gluten,0,0,0,1,0,2,Neutral
hawai ananas 1.3l - Coca-Cola Company,drinks,12.055957255343081,14.729708803611738,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Gluten,0,0,0,1,0,1,Beneficial
MOMA Organic Barista Oat Drink - 1 litre,drinks,0.84,8.4,3.9,0.2,0.5,0.11,Allergens: Gluten,0,0,0,1,0,3,Harmful
Soja protéines - Bjorg - 1 L,drinks,5.2,2.7,2.4,0.5,1.3,0.1,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Oat Drink - Sugarfree - dm Bio - 1l,drinks,9.0,26.0,78.0,29.935,20.232014218009482,2.62,Allergens: Gluten,0,0,0,1,0,3,Harmful
poms 25cl pet,drinks,12.055957255343081,14.729708803611738,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Gluten,0,0,0,1,0,1,Beneficial
Oat Original - Earth's Own 🇨🇦 - 1.75 L,drinks,1.2,6.8,2.8,0.0,0.8,0.12,Allergens: Gluten,0,0,0,1,0,2,Neutral
Soja Drink Calcium - Alnatura - 1 l,drinks,3.0,1.7,0.7,0.5,0.5,0.113,Allergens: Soybeans,0,0,1,0,0,2,Neutral
